1) Tutor Tutor Start Month,2026-04,2026-04.1,2026-04.2,2026-04.3
Tutor: Subjects Subject Name - General,1) Tutor Opportunity Responded Total,1) Tutor Tutor Count,1) Tutor Total Assignment Count,Auto Assignable in Subject
Algebra,140,20,25,9
Middle School Math,139,26,28,10
Math,123,28,21,23
Statistics,113,12,25,2
Pre-Algebra,107,13,15,6
College Statistics,98,8,21,1
English,89,36,15,31
Science,86,26,33,25
Algebra 2,83,10,11,4
Elementary School English,77,21,13,12
Elementary School Math,77,26,16,15
High School Chemistry,72,12,16,2
Pre-Calculus,72,9,13,2
Elementary School Science,71,21,24,16
AP Pre-Calculus,70,9,14,2
Calculus 1,69,13,14,2
Middle School Science,67,18,24,15
AP Statistics,62,3,9,1
Business Analytics,61,5,9,0
Business Statistics,61,2,9,0
Elementary School Writing,60,20,12,11
Biology,58,11,27,9
High School Biology,57,14,25,8
Middle School Writing,57,20,11,12
Middle School English,55,15,10,12
Calculus 2,53,7,10,1
High School English,53,19,11,12
High School Writing,52,20,10,12
Middle School Reading,52,18,10,11
SAT,51,10,16,2
Writing,50,18,9,15
Essay Editing,49,20,10,9
Reading,48,15,8,13
AP Biology,44,8,18,5
Elementary School Reading,44,20,7,12
AP English Language and Composition,42,13,7,5
Chemistry,39,8,9,7
Phonics,39,14,6,10
College English,38,11,5,8
Cell Biology,37,7,19,1
College Chemistry,37,9,13,2
LSAT,35,4,10,1
College Biology,34,7,13,3
Geometry,34,11,9,2
English Grammar and Syntax,32,10,4,1
PSAT,32,2,10,2
Life Sciences,28,4,8,0
Psychology,28,5,8,1
Biochemistry,27,4,9,1
Social Sciences,27,6,6,3
ACT,26,4,6,1
AP Psychology,26,6,5,1
Psychologies,26,4,5,1
Genetics,25,4,13,2
College Algebra,24,4,4,0
Biomedical Engineering,23,3,4,1
Microbiology,23,4,16,2
College Math,22,4,3,0
Trigonometry,21,6,2,2
AP Chemistry,20,4,8,1
Music,20,4,1,2
Piano,20,1,1,0
Middle School Reading Comprehension,17,8,4,2
Neuroscience,17,3,6,0
Organic Chemistry,17,4,7,2
IB Biology,16,4,10,1
Pharmacology,16,4,10,0
AP Calculus AB,15,4,5,1
Chemistry 2,15,2,0,0
General Chemistry 2,15,3,0,0
AP English Literature and Composition,14,9,2,1
Grade 9 Math,14,5,4,0
Graduate Test Prep,14,3,7,2
Anatomy & Physiology,13,6,10,3
Grade 10 Math,13,4,4,0
High School Physics,13,3,2,0
Test Prep,13,8,7,4
IB Chemistry,12,2,4,0
SAT Writing and Language,12,5,6,2
ACCUPLACER,11,3,6,3
ACCUPLACER Writing,11,2,6,2
College Application Essays,11,3,2,1
HSPT,11,3,6,3
HSPT Reading,11,2,6,2
ISEE,11,3,6,3
ISEE-Lower Level Reading Comprehension,11,2,6,2
Literature,11,2,2,1
Handwriting,10,5,3,0
Other,10,8,1,6
Creative Writing,9,8,0,2
Critical Analysis and Reasoning Skills,9,2,7,2
ESL/ELL,9,7,4,2
Grade 12 Chemistry,9,1,0,0
Inorganic Chemistry,9,2,3,1
MCAT,9,2,7,2
MCAT Biological and Biochemical Foundations of Living Systems,9,2,7,1
MCAT Chemical and Physical Foundations of Biological Systems,9,2,7,2
"MCAT Psychological, Social, and Biological Foundations of Behavior",9,2,7,2
Pathophysiology,9,2,6,1
LSAT Argumentative Writing,8,2,3,1
LSAT Logical Reasoning,8,2,3,1
LSAT Reading Comprehension,8,2,3,1
PANCE,8,1,5,0
Technology and Coding,8,10,3,9
USMLE Step 1,8,1,5,0
AP Calculus BC,7,2,1,1
Arabic,7,1,4,0
Coding,7,3,3,2
High School Reading,7,3,2,1
10th Grade Science,6,2,3,0
ACCUPLACER College-Level Math,6,2,4,2
ACCUPLACER QAS,6,2,4,2
ACCUPLACER WritePlacer ,6,1,4,1
AP Computer Science A,6,1,1,0
AP U.S. Government & Politics,6,3,1,0
Academic Coaching,6,2,0,0
American Government,6,2,1,1
Artificial Intelligence (AI),6,1,3,0
College Political Science,6,3,1,1
Data Analysis,6,1,3,0
Data Science,6,1,3,1
Earth Science,6,4,2,1
HSPT Language Skills,6,1,4,1
HSPT Math,6,2,4,2
HSPT Quantitative,6,2,4,2
HSPT Verbal,6,1,4,1
ISEE- Lower Level,6,2,4,2
ISEE- Middle Level,6,2,4,2
ISEE- Upper Level,6,2,4,2
ISEE-Lower Level Mathematics Achievement,6,2,4,2
ISEE-Lower Level Quantitative Reasoning,6,2,4,2
ISEE-Lower Level Verbal Reasoning,6,1,4,1
ISEE-Middle Level Mathematics Achievement,6,2,4,2
ISEE-Middle Level Quantitative Reasoning,6,2,4,2
ISEE-Middle Level Reading Comprehension,6,1,4,1
ISEE-Middle Level Verbal Reasoning,6,1,4,1
ISEE-Upper Level Mathematics Achievement,6,2,4,2
ISEE-Upper Level Quantitative Reasoning,6,2,4,2
ISEE-Upper Level Reading Comprehension,6,1,4,1
ISEE-Upper Level Verbal Reasoning,6,1,4,1
Machine Learning,6,1,3,1
Organic Chemistry 2,6,2,0,0
Portuguese,6,2,0,0
Probability,6,2,4,0
Programming Languages,6,3,3,3
Python,6,2,3,1
SAT Math,6,2,4,2
SHSAT,6,2,4,2
SQL,6,2,3,2
SSAT,6,2,4,2
SSAT- Elementary Level,6,2,4,2
SSAT- Middle Level,6,2,4,2
SSAT- Upper Level,6,2,4,2
Spanish 2,6,4,2,0
TACHS,6,2,4,2
10th Grade AP English,5,2,0,0
10th Grade AP English Language,5,2,0,0
10th Grade English,5,2,0,0
10th Grade Writing,5,1,0,0
11th Grade AP English,5,2,0,0
11th Grade English,5,2,0,0
11th Grade Writing,5,1,0,0
12th Grade English,5,1,0,0
12th Grade Writing,5,1,0,0
Academic Counseling,5,1,0,0
Admissions,5,2,0,1
Adult Literacy,5,5,1,1
Book Reports,5,1,0,0
Canadian History,5,1,0,0
Canadian politics,5,1,0,0
College,5,1,0,0
College Essays,5,1,0,0
College and University Admissions,5,4,0,0
Communications,5,1,0,0
Digital Marketing,5,1,0,0
Digital Media,5,3,0,0
Editing,5,1,0,0
Gender Studies,5,1,0,0
High School Science,5,6,4,3
IB Mathematics: Applications and Interpretation,5,1,2,0
Intermediate Web Design,5,1,0,0
Journalism,5,1,0,0
Languages,5,8,0,6
Media History,5,1,0,0
Media Studies,5,1,0,0
Multivariable Calculus,5,2,3,0
Photography,5,1,0,0
Professional Certifications,5,8,3,5
Reading Comprehension,5,1,0,0
Social Media Marketing,5,1,0,0
Spanish 3,5,3,2,0
Video Editing,5,1,0,0
Videography,5,1,0,0
Women's studies,5,1,0,0
Wordpress,5,1,0,0
Youtube Video Production,5,1,0,0
Learning Differences,4,5,1,4
Management,4,5,1,2
10th Grade Algebra,3,1,2,0
10th Grade Chemistry,3,1,1,1
10th Grade Physics,3,1,1,0
11th Grade Algebra,3,1,2,0
11th Grade Physics,3,1,1,0
6th Grade Physics,3,1,1,0
8th Grade Physics,3,1,1,0
9th Grade Chemistry,3,1,1,0
AP Environmental Science,3,2,1,1
Certified ScrumMaster,3,1,1,0
Conceptual Physics,3,1,1,0
ESL,3,1,1,0
Ecology,3,1,1,0
Executive Functioning,3,3,1,3
Grade 11 Physics,3,2,1,0
High School Computer Science,3,3,1,0
High School Geography,3,2,1,0
High School World History,3,3,1,1
Middle School,3,2,1,1
Middle School Physics,3,1,1,1
Physical Science,3,2,1,1
Physics,3,1,1,1
Physics 11,3,1,1,0
SAFe,3,1,1,0
Study Skills And Organization,3,3,1,2
TEFL,3,1,1,0
TExES™,3,1,1,1
TOEFL,3,1,1,0
Technical Certifications,3,1,1,0
Presentation Skills,2,3,0,1
Public Speaking,2,3,0,2
Study Skills,2,2,0,2
1st Grade Reading,1,1,0,0
1st Grade Vocabulary,1,1,0,0
2nd Grade,1,1,0,0
3rd Grade Homework,1,1,0,0
AP Spanish Language & Culture,1,2,0,0
ARDMS - RDMS - Obstetrics and Gynecology  (OB/GYN),1,1,1,0
Adult ESL/ELL,1,5,0,2
Art,1,4,1,3
Basic Computer Literacy,1,6,0,2
CLEP,1,2,1,0
CLEP American Government,1,1,1,0
Certified Reading Intervention,1,2,0,1
Competition Math,1,1,1,0
Computer Programming,1,2,0,0
Differential Equations,1,3,1,0
Drawing,1,5,0,2
Dyslexia,1,1,0,0
Elementary Reading and Phonics Class ,1,2,0,0
Engineering,1,2,1,2
Filmmaking,1,1,1,1
GRE,1,1,0,0
Government,1,1,1,1
High School Government,1,3,1,0
High School Level American History,1,3,1,1
High School Political Science,1,1,1,0
Kindergarten Readiness,1,4,0,2
Late Elementary Reading Comprehension,1,1,0,0
Learning Disability,1,1,0,0
Linguistics,1,1,0,0
Medical Terminology,1,2,1,2
Medicine,1,2,1,2
Microsoft Excel,1,5,0,4
Microsoft Office,1,5,0,4
NREMT,1,1,1,0
PC Basic Computer Skills,1,7,0,1
Pathology,1,1,1,1
Performing Arts,1,1,1,1
Political Science,1,2,1,1
Productivity,1,6,0,6
Reading Intervention,1,2,0,1
Regents,1,1,1,0
Social Networking,1,1,0,0
Social Studies,1,4,1,4
Spanish 1,1,6,0,1
Special Education,1,1,0,0
Spelling Bee,1,1,0,0
Technical Writing,1,3,1,0
10th Grade AP English Literature,0,1,0,0
10th Grade Literature,0,1,0,0
11th Grade AP English Language,0,1,0,0
11th Grade AP English Literature,0,1,0,0
1st Grade English,0,1,0,0
2nd Grade English,0,1,0,0
ACT English,0,2,0,0
ACT Reading,0,1,0,0
ACT Writing,0,1,0,1
AP European History,0,1,0,0
AP Human Geography,0,1,0,0
AP Music Theory,0,2,0,0
AP Research,0,2,0,1
AP US History,0,4,0,1
AP World History,0,2,0,0
ASVAB,0,1,0,0
Administrative Law,0,4,0,0
Adobe Illustrator,0,1,0,1
Agribusiness,0,1,0,0
Agricultural Science,0,1,0,0
American Sign Language,0,1,0,1
Autocad,0,1,0,0
BCABA,0,1,0,1
Bar Exam,0,1,0,0
Business,0,4,0,3
CLEP Humanities,0,1,0,0
CPA,0,1,0,0
CPCE,0,1,0,0
Calculus 3,0,2,0,0
Canadian Law,0,1,0,0
Civil Engineering,0,1,0,0
College Business,0,1,0,1
Constitutional Law,0,1,0,0
Contract Law,0,4,0,0
Conversational Spanish,0,3,0,2
Cyber Security,0,1,0,1
EMT,0,1,0,1
Elementary Social Studies,0,4,0,2
Environmental Science,0,1,0,1
Expository Writing,0,3,0,1
Financial Accounting,0,1,0,0
Flute,0,1,0,0
French,0,1,0,1
French 2,0,1,0,1
French 3,0,1,0,0
French 4,0,1,0,0
GED,0,1,0,0
Grade 12 Physics,0,1,0,0
Graphic Design,0,1,0,1
HTML,0,2,0,1
High School Business,0,1,0,1
History,0,2,0,2
Insurance License,0,1,0,1
Japanese,0,1,0,1
Kindergarten English,0,1,0,0
Kindergarten Reading,0,1,0,0
Latin,0,1,0,1
Latin 1,0,1,0,1
Latin 2,0,1,0,0
Latin 4,0,1,0,0
Law,0,3,0,3
Law School Application Essays,0,1,0,0
Legal Writing,0,4,0,3
Linear Algebra,0,1,0,0
Mac Basic Computer Skills,0,4,0,0
Macroeconomics,0,1,0,0
Marketing,0,2,0,1
Math 1,0,2,0,0
Math 2,0,1,0,0
Microeconomics,0,1,0,0
Microsoft Power BI,0,1,0,1
Microsoft Word,0,4,0,0
Middle School Social Studies,0,2,0,1
Music Education,0,2,0,0
Music Fundamentals,0,1,0,0
Music History,0,2,0,0
Music Theory,0,2,0,2
Orton Gillingham,0,1,0,1
PRAXIS,0,2,0,1
PRAXIS Music,0,2,0,1
PSAT Writing Skills,0,1,0,0
Painting,0,3,0,2
Philosophy,0,1,0,1
Photoshop,0,1,0,1
Quickbooks,0,1,0,0
Reading Fundamentals: Phonics and Decoding,0,1,0,0
Sculpture,0,2,0,2
Spanish,0,3,0,2
Spanish 4,0,1,0,0
Statics,0,1,0,0
Statics and Dynamics,0,1,0,0
Structural Engineering,0,1,0,1
Tableau,0,1,0,1
UK A Level,0,1,0,0
UK A Level English Language,0,1,0,0
UK A Level English Literature,0,1,0,0
UK A Level Philosophy,0,1,0,0
Vibe Coding,0,1,0,0
Visual Arts,0,4,0,2
Westlaw Research,0,1,0,0
