Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Problem_Type,Category,Tier
ESL/ELL,23.0,3.0,28.0,-88.0,142.0,847,False,19.0,False,,19.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,,,,,,,,14.0,1.0,872.0,638.0,23.0,23.1,74.7,down,-51.6,26.0,6.0,Over-Supplied,Language,LOW
Python,12.0,2.0,14.0,-83.0,70.0,600,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,3.0,471.0,376.0,62.0,62.5,80.1,down,-17.6,8.0,5.0,On Track,College,LOW
Anatomy & Physiology,20.0,2.0,24.0,-91.0,128.0,1167,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,,4.0,446.0,323.0,44.0,44.0,74.1,down,-30.1,25.0,11.0,Over-Supplied,College,LOW
Kindergarten Readiness,14.0,3.0,17.0,-82.0,80.0,544,False,18.0,True,['Apr'],15.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,3.0,280.0,210.0,21.0,21.4,77.8,down,-56.4,14.0,3.0,Over-Supplied,Elementary,LOW
Microsoft Excel,13.0,3.0,16.0,-77.0,70.0,433,False,21.0,True,['Apr'],21.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,,,,,,,6.0,1.0,405.0,310.0,33.0,33.3,77.9,down,-44.5,12.0,4.0,Over-Supplied,Technology,LOW
HSPT,6.0,4.0,7.0,-31.0,13.0,145,False,29.0,False,,29.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,,,,,,,,9.0,3.0,181.0,147.0,78.0,78.3,81.6,down,-3.4,23.0,18.0,On Track,Test Prep,LOW
AP US History,9.0,3.0,11.0,-68.0,43.0,315,False,20.0,True,['Apr'],19.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,,,,,,,5.0,1.0,278.0,189.0,43.0,42.9,68.6,down,-25.8,7.0,3.0,Over-Supplied,AP,LOW
Chess,2.0,2.0,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,96.0,81.0,0.0,0.0,85.3,down,-85.3,1.0,0.0,Over-Supplied,Other,LOW
Spanish 3,12.0,3.0,14.0,-79.0,66.0,467,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,,,,,,3.0,2.0,534.0,416.0,14.0,14.3,78.7,down,-64.5,7.0,1.0,Over-Supplied,Language,LOW
High School Reading,39.0,3.0,47.0,-93.0,254.0,1437,False,19.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,,,,,,,,2.0,949.0,718.0,32.0,32.4,77.4,down,-45.0,37.0,12.0,Over-Supplied,High School,LOW
ASVAB,2.0,3.0,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,2.0,,,,,,,0.0,3.0,63.0,50.0,0.0,0.0,80.6,down,-80.6,1.0,0.0,Under-Used,Test Prep,LOW
Piano,6.0,2.0,7.0,-71.0,30.0,350,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,166.0,116.0,0.0,0.0,71.6,down,-71.6,4.0,0.0,Over-Supplied,Arts & Music,LOW
AP World History,8.0,2.0,10.0,-70.0,39.0,329,False,17.0,True,['Apr'],16.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,,,,,,,3.0,2.0,255.0,181.0,100.0,100.0,70.4,up,29.6,5.0,5.0,On Track,AP,LOW
Microeconomics,4.0,2.0,5.0,-57.0,16.0,233,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,1.0,2.0,163.0,125.0,67.0,66.7,76.9,down,-10.2,3.0,2.0,On Track,College,LOW
French 2,5.0,3.0,6.0,-49.0,17.0,194,False,18.0,False,,18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,,,,,,,,1.0,1.0,190.0,147.0,25.0,25.0,78.5,down,-53.5,4.0,1.0,Over-Supplied,Language,LOW
Linear Algebra,7.0,2.0,8.0,-65.0,32.0,288,False,17.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,3.0,3.0,314.0,265.0,67.0,66.7,84.6,down,-17.9,3.0,2.0,On Track,College,LOW
Psychology,19.0,2.0,23.0,-89.0,119.0,950,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,373.0,272.0,30.0,30.0,75.4,down,-45.4,20.0,6.0,Over-Supplied,College,LOW
English Grammar and Syntax,62.0,3.0,74.0,-96.0,416.0,2411,False,18.0,True,['Apr'],19.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,,,,,,,,2.0,1242.0,922.0,33.0,33.3,75.0,down,-41.7,24.0,8.0,Over-Supplied,High School,LOW
Competition Math,3.0,3.0,4.0,-14.0,3.0,117,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,,,,,2.0,162.0,137.0,0.0,0.0,85.6,down,-85.6,2.0,0.0,Over-Supplied,High School,LOW
Mechanical Engineering,4.0,3.0,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,,,,,,,1.0,5.0,150.0,126.0,50.0,50.0,84.5,down,-34.5,2.0,1.0,On Track,College,LOW
AP English Literature and Composition,14.0,3.0,17.0,-82.0,80.0,544,False,18.0,False,,18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,1.0,205.0,149.0,100.0,100.0,72.1,up,27.9,4.0,4.0,On Track,AP,LOW
Physics 2,3.0,3.0,4.0,-10.0,2.0,111,False,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,,,,,,,1.0,1.0,159.0,129.0,100.0,100.0,81.0,up,19.0,1.0,1.0,On Track,College,LOW
College and University Admissions,19.0,2.0,23.0,-89.0,119.0,950,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,306.0,247.0,23.0,23.1,83.3,down,-60.2,13.0,3.0,Over-Supplied,College,LOW
AP Microeconomics,4.0,3.0,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,2.0,2.0,1.0,2.0,3.0,5.0,6.0,2.0,2.0,1.0,2.0,4.0,6.0,4.0,2.0,,,,,,,,2.0,109.0,86.0,50.0,50.0,80.0,down,-30.0,4.0,2.0,On Track,AP,LOW
C++,2.0,2.0,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,148.0,125.0,0.0,0.0,85.0,down,-85.0,1.0,0.0,Over-Supplied,College,LOW
Pharmacology,8.0,2.0,10.0,-75.0,42.0,400,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,145.0,111.0,44.0,44.4,78.7,down,-34.2,9.0,4.0,Over-Supplied,College,LOW
French 3,4.0,3.0,5.0,-14.0,4.0,117,False,24.0,False,,24.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,,,,,,,,1.0,1.0,149.0,119.0,33.0,33.3,80.8,down,-47.5,3.0,1.0,Over-Supplied,Language,LOW
Math 2,3.0,4.0,4.0,29.0,-6.0,78,True,27.0,True,['Apr'],26.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,3.0,2.0,2.0,2.0,6.0,6.0,6.0,3.0,,,,,,,,2.0,368.0,308.0,50.0,50.0,83.9,down,-33.9,2.0,1.0,True Supply Problem,High School,LOW
Multivariable Calculus,2.0,3.0,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,,,,,,,0.0,2.0,149.0,128.0,86.0,,85.9,,,0.0,0.0,True Supply Problem,College,LOW
JavaScript,4.0,2.0,5.0,-50.0,14.0,200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,157.0,124.0,50.0,50.0,79.4,down,-29.4,2.0,1.0,On Track,College,LOW
AP Computer Science Principles,4.0,2.0,5.0,-43.0,12.0,175,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,2.0,3.0,189.0,159.0,50.0,50.0,84.5,down,-34.5,2.0,1.0,On Track,AP,LOW
Corporate Finance,2.0,2.0,2.0,21.0,-3.0,82,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,73.0,58.0,0.0,0.0,81.7,down,-81.7,2.0,0.0,Under-Used,College,LOW
Vietnamese,1.0,4.0,1.0,257.0,-18.0,28,True,25.0,False,,25.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,6.0,4.0,,,,,,,,0.0,1.0,16.0,15.0,94.0,,93.8,,,0.0,0.0,True Supply Problem,Language,LOW
Cyber Security,7.0,2.0,8.0,-71.0,35.0,350,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,78.0,51.0,12.0,12.5,71.4,down,-58.9,8.0,1.0,Over-Supplied,College,LOW
BCABA,2.0,2.0,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,14.0,7.0,0.0,0.0,53.8,down,-53.8,1.0,0.0,Over-Supplied,Professional/Cert,LOW
IB Biology,3.0,2.0,4.0,-33.0,7.0,150,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,138.0,111.0,50.0,50.0,80.9,down,-30.9,2.0,1.0,On Track,IB,LOW
Electrical and Computer Engineering,1.0,2.0,1.0,143.0,-10.0,41,True,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,1.0,1.0,69.0,59.0,100.0,100.0,85.3,up,14.7,1.0,1.0,True Supply Problem,College,LOW
Statics and Dynamics,2.0,2.0,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,77.0,63.0,82.0,,81.8,,,0.0,0.0,On Track,College,LOW
Applied Mathematics,5.0,2.0,6.0,-54.0,19.0,219,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,2.0,285.0,240.0,0.0,0.0,84.8,down,-84.8,2.0,0.0,Over-Supplied,College,LOW
Robotics,1.0,2.0,1.0,129.0,-9.0,44,True,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,,0.0,1.0,53.0,45.0,85.0,,84.9,,,0.0,0.0,True Supply Problem,Technology,LOW
Fine arts,6.0,2.0,7.0,-67.0,28.0,300,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,106.0,79.0,100.0,100.0,74.3,up,25.7,1.0,1.0,On Track,Arts & Music,LOW
Business Analytics,3.0,2.0,4.0,-19.0,4.0,124,False,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,2.0,3.0,139.0,114.0,33.0,33.3,83.1,down,-49.8,3.0,1.0,Over-Supplied,College,LOW
PTCE,1.0,2.0,1.0,100.0,-7.0,50,True,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,9.0,8.0,89.0,,88.9,,,0.0,0.0,True Supply Problem,Professional/Cert,LOW
Filmmaking,2.0,2.0,2.0,7.0,-1.0,93,False,15.0,False,,15.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,,,,,,,,2.0,1.0,43.0,31.0,20.0,20.0,78.9,down,-58.9,5.0,1.0,Over-Supplied,Arts & Music,LOW
Mac Basic Computer Skills,5.0,2.0,6.0,-60.0,21.0,250,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,2.0,88.0,74.0,20.0,20.0,88.0,down,-68.0,5.0,1.0,Over-Supplied,Technology,LOW
Cost Accounting,2.0,3.0,2.0,57.0,-8.0,64,True,22.0,True,['Apr'],22.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,2.0,2.0,2.0,2.0,4.0,6.0,4.0,2.0,,,,,,,0.0,1.0,68.0,55.0,81.0,,80.9,,,0.0,0.0,True Supply Problem,College,LOW
PC Basic Computer Skills,5.0,2.0,6.0,-66.0,23.0,292,False,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,2.0,121.0,101.0,33.0,33.3,84.7,down,-51.4,3.0,1.0,Over-Supplied,Technology,LOW
Technical Writing,24.0,2.0,29.0,-92.0,154.0,1200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,295.0,237.0,44.0,44.4,81.5,down,-37.0,9.0,4.0,Over-Supplied,College,LOW
Music Recording,1.0,2.0,1.0,71.0,-5.0,58,True,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,2.0,45.0,30.0,67.0,,66.7,,,0.0,0.0,True Supply Problem,Arts & Music,LOW
Probability,2.0,2.0,2.0,21.0,-3.0,82,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,295.0,253.0,0.0,0.0,86.3,down,-86.3,2.0,0.0,Under-Used,College,LOW
Linguistics,2.0,3.0,2.0,29.0,-4.0,78,True,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,,,,0.0,1.0,163.0,122.0,75.0,,74.8,,,0.0,0.0,True Supply Problem,College,LOW
Structural Engineering,1.0,2.0,1.0,129.0,-9.0,44,True,16.0,False,,16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,,,,,,,,0.0,1.0,24.0,19.0,0.0,0.0,82.6,down,-82.6,1.0,0.0,Under-Used,College,LOW
Rhino,1.0,1.0,1.0,43.0,-3.0,70,True,10.0,False,,10.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,1.0,21.0,17.0,67.0,66.7,83.3,down,-16.7,3.0,2.0,True Supply Problem,Technology,LOW
College Level American History,2.0,3.0,2.0,43.0,-6.0,70,True,20.0,False,,20.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,,,,,,,,,1.0,89.0,69.0,78.0,,77.5,,,0.0,0.0,True Supply Problem,College,LOW
Clinical Psychology,3.0,2.0,4.0,-24.0,5.0,131,False,16.0,False,,16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,1.0,78.0,59.0,76.0,,75.6,,,0.0,0.0,On Track,College,LOW
Conversational Spanish,17.0,10.0,20.0,-42.0,50.0,172,False,69.0,True,['Apr'],47.0,1.0,0.0,2.0,5.0,10.0,14.0,15.0,23.0,5.0,2.0,4.0,9.0,12.0,13.0,23.0,,,,,,,16.0,5.0,523.0,390.0,33.0,33.3,76.6,down,-43.2,24.0,8.0,Over-Supplied,Language,MEDIUM
NCLEX,7.0,0.0,8.0,-98.0,48.0,4900,False,1.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,2.0,87.0,60.0,80.0,80.0,68.3,up,11.7,5.0,4.0,On Track,Professional/Cert,NICHE
Japanese,1.0,3.0,1.0,171.0,-12.0,37,True,19.0,False,,19.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,1.0,4.0,5.0,4.0,,,,,,,,1.0,2.0,66.0,45.0,0.0,0.0,70.3,down,-70.3,2.0,0.0,Under-Used,Language,LOW
Orton Gillingham,4.0,0.0,5.0,-96.0,27.0,2800,False,1.0,False,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,154.0,118.0,40.0,40.0,77.9,down,-37.9,5.0,2.0,Over-Supplied,Other,NICHE
Middle School Writing,99.0,0.0,119.0,-100.0,690.0,23100,False,3.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,3.0,1873.0,1324.0,39.0,39.4,73.0,down,-33.6,127.0,50.0,Over-Supplied,Middle School,NICHE
College Physics,9.0,3.0,11.0,-70.0,44.0,332,False,19.0,True,['Apr'],13.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,7.0,1.0,0.0,0.0,2.0,4.0,5.0,7.0,,,,,,,5.0,1.0,448.0,368.0,80.0,80.0,82.2,flat,-2.2,5.0,4.0,On Track,College,LOW
College Algebra,6.0,2.0,7.0,-64.0,27.0,280,False,15.0,True,['Apr'],15.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,0.0,0.0,4.0,6.0,4.0,1.0,,,,,,,3.0,5.0,617.0,527.0,50.0,50.0,85.8,down,-35.8,6.0,3.0,On Track,College,LOW
PSAT,9.0,1.0,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,608.0,521.0,79.0,78.6,86.0,down,-7.5,28.0,22.0,On Track,Test Prep,NICHE
Financial Accounting,8.0,2.0,10.0,-71.0,40.0,350,False,16.0,True,['Apr'],13.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,,,,,,,4.0,4.0,201.0,159.0,38.0,37.5,80.8,down,-43.3,8.0,3.0,Over-Supplied,College,LOW
Mandarin Chinese 1,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,93.0,67.0,100.0,100.0,71.4,up,28.6,2.0,2.0,On Track,Language,NICHE
Drawing,16.0,1.0,19.0,-94.0,105.0,1600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,216.0,142.0,28.0,27.8,69.2,down,-41.4,18.0,5.0,Over-Supplied,Arts & Music,NICHE
SAT Writing and Language,9.0,1.0,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,10.0,2.0,479.0,405.0,85.0,85.0,84.5,flat,0.5,20.0,17.0,On Track,Test Prep,NICHE
French 1,10.0,1.0,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,181.0,127.0,11.0,11.1,73.3,down,-62.1,9.0,1.0,Over-Supplied,Language,NICHE
ARRT - Radiography,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,15.0,11.0,0.0,0.0,78.6,down,-78.6,1.0,0.0,Over-Supplied,Professional/Cert,NICHE
NCLEX-RN,5.0,1.0,6.0,-80.0,28.0,500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,4.0,1.0,78.0,52.0,60.0,60.0,67.1,down,-7.1,5.0,3.0,On Track,Professional/Cert,NICHE
Conversational German,2.0,3.0,2.0,50.0,-7.0,67,True,21.0,False,,21.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,1.0,2.0,2.0,2.0,4.0,6.0,4.0,,,,,,,,0.0,2.0,53.0,37.0,70.0,,69.8,,,0.0,0.0,True Supply Problem,Language,LOW
NPTE,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,1.0,15.0,12.0,50.0,50.0,84.6,down,-34.6,2.0,1.0,On Track,Professional/Cert,NICHE
Java,10.0,1.0,12.0,-89.0,62.0,875,False,8.0,True,['Apr'],8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,284.0,236.0,50.0,50.0,84.3,down,-34.3,10.0,5.0,On Track,College,NICHE
Basic Computer Literacy,18.0,3.0,22.0,-83.0,104.0,573,False,22.0,True,['Apr'],13.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,10.0,0.0,0.0,0.0,1.0,5.0,6.0,10.0,,,,,,,,3.0,315.0,241.0,9.0,9.1,78.9,down,-69.9,11.0,1.0,Over-Supplied,Technology,LOW
Organic Chemistry 2,3.0,1.0,4.0,-62.0,13.0,262,False,8.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,0.0,1.0,187.0,155.0,83.0,,82.9,,,0.0,0.0,On Track,College,NICHE
